CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,2,1,1,-,"1,610.00",-289.50,75,"1,589.05","1,631.70",75,"22,800.00",75,5.30,5.90,675,0.20,5.35,17.67,"5,139","1,007","1,628",
,-,-1,1,-,"1,560.00",-60.00,75,"1,542.75","1,584.90",75,"22,850.00",300,4.80,8.25,225,0.45,5.65,17.33,"1,945",149,260,
,2,-,-,-,"1,796.85",-1.65,"1,725","1,362.45","1,607.25","1,725","22,900.00",225,6.00,6.75,300,0.65,6.00,17.00,"3,146",255,398,
,-,-,-,-,-,-,"1,725","1,294.05","1,578.25","1,725","22,950.00",675,6.55,9.00,"1,275",2.15,7.20,17.00,233,58,161,
,24,12,12,18.50,"1,446.45",-194.20,"1,725","1,287.35","1,420.65",75,"23,000.00",300,6.70,7.00,75,1.30,6.90,16.39,"13,020","2,264","4,877",
,2,-,-,-,"1,616.10",1.80,"1,725","1,233.45","1,465.65","1,725","23,050.00",300,6.55,8.20,"3,000",2.10,7.80,16.22,325,20,69,
,2,-,-,-,"1,585.60",13.05,"1,725","1,096.35","1,409.60","1,725","23,100.00",450,7.40,8.35,300,1.85,7.65,15.66,"2,851",434,725,
,4,2,2,-,"1,272.30",-232.15,"1,725","1,153.70","1,356.95","1,725","23,150.00",150,7.65,10.15,300,2.30,8.80,15.53,311,52,123,
,3,1,1,-,"1,221.35",-233.65,"1,725","1,110.40","1,233.10",75,"23,200.00",75,8.65,9.45,300,2.75,9.30,15.16,"4,615",852,"1,540",
,4,2,2,-,"1,177.65",-227.95,"1,725","1,039.10","1,264.20","1,725","23,250.00",300,8.45,10.70,900,3.50,10.35,14.93,206,11,159,
,10,8,8,-,"1,125.10",-213.80,"1,725","1,006.15","1,146.35",75,"23,300.00",225,10.75,11.55,150,3.75,11.00,14.57,"7,289","1,264","1,915",
,3,1,1,-,"1,075.15",-225.70,"1,725",938.25,"1,152.00","1,725","23,350.00",750,12.20,17.00,75,4.70,12.80,14.46,"1,304",609,677,
,6,4,15,-,"1,033.00",-218.60,"1,725",848.25,"1,028.05",75,"23,400.00",225,13.25,14.15,75,5.50,14.35,14.24,"7,221","1,369","2,010",
