CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,83,-,-,-,"1,635.85",-,600,"1,562.40","1,629.60",300,"22,800.00","2,325",2.20,2.25,300,-0.15,2.20,22.47,"3,66,840","25,929","94,425",
,1,1,3,31.58,"1,560.00",-187.55,450,"1,496.10","1,601.35",450,"22,850.00","36,000",2.10,2.20,"3,600",-0.35,2.10,21.70,"81,388","9,522","10,954",
,-,-,-,-,-,-,600,"1,460.10","1,522.90",300,"22,900.00",75,2.35,2.40,"4,200",-0.15,2.35,21.37,"75,222","1,725","6,160",
,-,-,-,-,-,-,450,"1,393.80","1,501.60",450,"22,950.00","2,325",2.25,2.80,"1,500",-0.10,2.45,20.83,"31,949",703,"1,922",
,229,34,76,25.32,"1,399.40",-270.75,150,"1,389.40","1,398.10",300,"23,000.00","6,000",2.65,2.90,"1,800",0.05,2.70,20.44,"2,82,483","17,943","60,799",
,5,-,-,-,"1,586.45",-,450,"1,294.70","1,401.90",450,"23,050.00",600,2.55,3.10,900,-,2.90,19.98,"46,548",673,"2,580",
,33,-,-,-,"1,365.00",-,600,"1,264.80","1,298.55",75,"23,100.00","1,500",2.70,3.10,"1,800",0.15,2.95,19.36,"1,30,339","5,911","15,350",
,10,-,-,-,"1,244.00",-,450,"1,195.50","1,302.15",450,"23,150.00",900,3.00,3.35,525,0.10,3.05,18.78,"43,221","1,801","2,699",
,10,-,3,38.49,"1,283.95",-70.10,600,"1,171.80","1,217.70",375,"23,200.00","2,025",3.35,3.65,675,0.60,3.65,18.58,"2,29,988","22,610","42,333",
,4,-,-,-,"1,349.95",-,450,"1,096.40","1,202.60",450,"23,250.00",675,3.25,3.75,"1,275",0.45,3.70,17.93,"47,505","1,883","3,982",
,67,-,27,13.06,"1,089.55",-261.05,300,"1,078.95","1,113.55",300,"23,300.00","1,050",3.75,3.90,75,0.20,3.75,17.28,"2,07,822","7,430","29,811",
,6,2,5,-,"1,033.20",-205.75,150,997.60,"1,103.05",300,"23,350.00","1,800",4.10,4.30,675,0.45,4.10,16.82,"48,571","2,114","4,260",
,45,-4,18,11.74,989.65,-277.70,150,979.80,"1,001.00",150,"23,400.00","1,500",4.30,4.55,"2,325",0.45,4.30,16.24,"2,26,313","5,509","19,569",
,24,-,-,-,"1,099.90",-,450,897.65,"1,002.80",450,"23,450.00",825,4.50,5.00,75,0.55,4.70,15.75,"1,08,722","-1,115","4,805",
,908,79,860,16.31,897.00,-249.45,75,895.00,901.15,225,"23,500.00","1,800",5.30,5.65,600,1.10,5.60,15.48,"5,56,072","-3,009","70,177",
,17,-,4,11.20,840.40,-111.65,75,836.10,860.90,150,"23,550.00","1,425",5.65,6.30,675,0.85,5.60,14.74,"1,21,960","1,486","4,384",
,72,7,203,17.57,806.85,-217.90,75,797.00,803.60,225,"23,600.00",900,6.70,7.00,450,1.60,6.70,14.46,"2,95,602","-1,719","27,359",
,15,-5,11,23.89,800.10,-191.70,300,736.55,780.05,75,"23,650.00",675,7.05,8.00,225,2.10,7.80,14.10,"1,64,411","3,534","6,687",
,150,52,255,14.87,703.00,-248.05,150,698.75,705.80,150,"23,700.00",300,8.60,8.85,"1,425",2.45,8.60,13.58,"4,08,669","13,490","41,793",
,91,70,84,13.11,649.65,-150.70,225,649.40,661.45,225,"23,750.00",375,9.90,10.45,750,3.85,10.45,13.31,"2,48,691","2,317","9,162",
,595,189,"3,162",13.52,604.80,-256.15,225,601.80,607.35,75,"23,800.00",600,11.60,12.00,150,3.95,11.40,12.72,"6,93,469","13,155","43,205",
,98,78,316,13.72,560.40,-231.30,225,553.65,561.15,75,"23,850.00",225,13.75,14.70,825,6.40,14.80,12.64,"3,52,268","1,517","8,170",
,387,144,"1,037",12.71,510.10,-244.60,150,507.65,511.35,300,"23,900.00","3,900",17.00,17.25,975,7.55,17.25,12.22,"6,60,740","6,470","25,715",
,138,103,495,12.97,467.95,-234.90,300,460.95,466.45,300,"23,950.00","1,200",20.60,21.15,225,9.55,20.60,11.86,"4,60,080","3,061","9,912",
,"8,263","3,970","35,277",11.59,415.55,-237.30,150,416.15,419.00,225,"24,000.00","2,325",25.20,25.65,750,12.85,25.65,11.65,"16,84,085","14,343","75,920",
,297,204,"1,809",11.78,374.95,-212.45,150,372.60,375.65,75,"24,050.00",300,31.10,31.50,150,16.85,31.45,11.38,"5,82,045","4,700","13,627",
