CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,433",576,"14,191",11.43,331.70,-227.00,300,330.30,332.10,300,"24,100.00",600,38.40,38.85,600,21.10,38.40,11.11,"10,59,270","9,954","27,668",
,736,547,"7,991",11.40,293.00,-222.15,750,289.80,291.25,450,"24,150.00",75,47.55,48.00,300,26.75,47.40,10.89,"7,60,853","7,266","14,847",
,"6,430","2,965","80,173",10.91,251.55,-207.40,75,251.15,252.55,675,"24,200.00",450,58.95,59.55,"1,050",35.10,59.00,10.73,"17,20,535","3,622","47,401",
,"1,946","1,502","41,617",10.69,214.80,-197.75,150,214.55,215.90,75,"24,250.00",300,72.30,72.90,75,43.60,72.70,10.57,"10,26,003","7,235","18,023",
,"17,654","12,727","2,99,643",10.68,183.05,-183.15,375,182.00,182.70,300,"24,300.00",300,88.80,89.50,225,53.90,89.50,10.45,"21,34,856","29,566","62,830",
,"14,260","12,155","3,03,318",10.53,152.45,-174.85,75,152.10,152.90,900,"24,350.00",300,108.95,109.90,75,65.45,109.90,10.39,"18,32,773","4,231","24,541",
,"58,753","44,605","15,66,017",10.52,126.60,-158.25,300,125.55,126.60,600,"24,400.00",300,132.40,133.50,525,79.30,132.85,10.30,"40,65,095","4,017","51,867",
,"45,913","40,424","17,04,709",10.48,103.30,-142.40,450,102.45,103.20,300,"24,450.00",900,159.20,160.30,150,93.75,160.30,10.32,"28,36,143","6,832","22,845",
,"1,47,414","1,13,258","29,90,671",10.45,83.20,-128.50,750,82.50,83.25,450,"24,500.00",300,189.50,190.70,600,108.75,189.95,10.27,"33,76,565","2,126","63,815",
,"50,986","42,117","16,40,808",10.49,66.70,-111.20,600,66.25,66.90,"1,050","24,550.00",300,222.50,223.85,75,125.80,223.75,10.33,"12,79,038","-3,262","11,875",
,"1,39,318","98,305","26,07,479",10.58,53.40,-100.90,300,53.25,53.75,375,"24,600.00",75,259.40,261.00,"1,125",143.15,259.00,10.28,"12,82,932","-10,948","28,387",
,"46,974","33,729","10,28,814",10.70,42.55,-87.50,450,42.10,42.45,300,"24,650.00",300,297.75,299.25,75,162.90,297.95,10.35,"3,17,402","-6,817","6,199",
,"1,04,992","66,692","16,96,317",10.75,33.10,-71.75,450,33.10,33.45,450,"24,700.00",300,338.95,340.85,300,175.85,341.00,10.67,"2,93,985","-2,458","16,372",
,"38,510","25,326","8,09,378",10.88,26.00,-59.75,150,25.85,26.10,150,"24,750.00",375,381.85,383.90,300,186.05,382.40,10.59,"54,078",-103,"3,155",
,"1,04,834","63,865","15,35,532",11.02,20.40,-47.70,300,20.05,20.40,"1,350","24,800.00",225,424.70,427.70,300,202.05,427.95,10.89,"1,01,627","-2,202","7,334",
,"34,312","22,944","6,17,597",11.11,15.65,-38.85,300,15.75,16.15,375,"24,850.00",150,469.10,473.50,75,205.00,470.00,10.33,"12,356",-342,683,
,"79,795","49,194","9,89,016",11.38,12.70,-29.35,"2,325",12.20,12.70,150,"24,900.00",300,515.75,519.20,300,214.65,516.05,10.20,"21,631",-376,"6,358",
,"34,116","23,237","4,94,946",11.71,10.60,-22.70,75,10.00,10.25,300,"24,950.00",150,563.05,568.20,150,224.85,565.00,10.68,"2,674",-5,508,
,"1,65,601","94,401","13,17,263",11.81,8.10,-16.85,"9,000",8.00,8.30,150,"25,000.00",75,611.45,615.85,150,225.60,614.10,11.15,"20,017",-340,"10,755",
,"27,527","18,522","4,04,430",12.09,6.65,-12.80,75,6.30,6.65,150,"25,050.00",150,658.20,664.60,225,224.45,664.60,12.08,739,-9,260,
,"68,422","32,006","6,31,872",12.16,5.00,-9.80,"2,400",4.85,5.05,900,"25,100.00",150,707.55,713.05,150,242.05,707.45,-,"2,409",25,"2,741",
,"34,328","25,248","2,82,334",12.33,3.90,-7.50,975,3.90,4.25,75,"25,150.00",75,755.65,762.70,300,249.95,755.80,-,293,1,365,
,"78,928","33,246","5,89,804",12.77,3.50,-5.25,"7,050",3.50,3.80,"1,425","25,200.00",75,805.70,810.15,75,248.80,805.15,-,"1,159",25,"2,776",
,"28,956","16,784","3,03,206",13.00,2.85,-3.80,"1,500",3.05,3.15,"1,800","25,250.00",150,855.20,862.20,300,234.15,854.60,-,116,-,330,
,"85,451","53,520","5,38,002",13.52,2.70,-2.35,"15,750",2.70,2.80,825,"25,300.00",150,905.00,911.30,150,256.20,906.95,-,278,3,"1,245",
,"35,380","25,469","3,04,379",13.69,2.15,-1.95,"1,425",2.20,2.50,750,"25,350.00",150,953.45,961.65,150,261.05,956.35,-,39,2,283,
,"45,893","19,077","3,95,241",14.34,2.20,-1.00,300,2.10,2.20,75,"25,400.00",150,"1,002.75","1,011.20",300,239.50,992.80,-,199,25,"1,113",
,"12,071","7,094","1,36,236",14.64,1.90,-0.95,75,1.70,1.90,"1,050","25,450.00",75,"1,005.05","1,059.15",75,231.20,"1,048.00",-,1,1,96,
,"1,30,293","71,828","6,68,118",15.17,1.85,-0.55,"16,200",1.75,1.85,"30,525","25,500.00",150,"1,102.05","1,110.95",150,256.70,"1,105.45",-,929,191,"2,891",
,"16,646","9,476","1,26,598",15.58,1.70,-0.35,300,1.55,1.60,150,"25,550.00",75,"1,148.25","1,179.15",75,320.95,"1,204.90",29.13,29,1,128,
,"61,691","32,289","2,93,541",15.90,1.50,-0.30,"5,625",1.50,1.65,"2,025","25,600.00",150,"1,201.15","1,210.55",150,281.35,"1,220.50",22.35,80,4,386,
,"9,939","4,371","89,946",16.46,1.50,-0.15,"4,275",1.35,1.50,"1,575","25,650.00",150,"1,247.60","1,299.70",300,257.20,"1,269.95",22.91,17,3,40,
,"57,173","39,404","3,26,045",16.73,1.30,-0.10,"37,500",1.30,1.40,"14,700","25,700.00",150,"1,300.75","1,311.55",150,254.95,"1,300.00",-,29,5,372,
,"15,488","12,121","83,495",17.19,1.25,-0.10,"1,800",1.20,1.30,"3,675","25,750.00",450,"1,302.70","1,358.10",225,121.20,"1,369.20",24.11,23,-1,36,
,"46,347","31,854","2,94,745",17.65,1.20,-0.05,"28,575",1.20,1.35,"5,925","25,800.00",150,"1,400.85","1,411.40",150,213.95,"1,361.90",-,7,-,370,
,"7,985","5,606","54,770",18.35,1.30,0.05,"1,800",1.15,1.30,"6,150","25,850.00",300,"1,431.90","1,473.90",300,258.90,"1,469.10",25.52,13,1,68,
,"27,973","19,274","1,33,598",18.62,1.15,-,"20,100",1.15,1.25,150,"25,900.00",150,"1,499.30","1,511.15",300,256.50,"1,519.35",26.34,9,-,24,
,"4,554","3,160","42,625",19.25,1.20,0.05,"3,975",1.10,1.30,"3,600","25,950.00",150,"1,518.35","1,594.85",150,102.75,"1,509.90",-,4,-,17,
,"1,17,395","58,105","5,23,465",19.77,1.20,0.15,"94,875",1.15,1.20,900,"26,000.00",75,"1,602.00","1,607.75",225,247.95,"1,605.65",-,260,146,"1,327",
,"7,677","2,839","44,716",20.00,1.05,0.10,"1,500",1.05,1.15,"3,600","26,050.00",450,"1,596.70","1,704.05",450,-,"1,477.75",-,-,-,12,
,"31,050","17,011","1,60,949",20.51,1.05,0.15,"3,825",1.00,1.10,"1,800","26,100.00",600,"1,674.00","1,746.00",300,-,"1,405.80",-,-,-,12,
,"7,240","4,896","45,565",21.13,1.10,0.15,"3,675",0.95,1.10,"1,350","26,150.00",450,"1,701.15","1,796.70",450,-1.75,"1,508.95",-,-,-,6,
,"31,944","22,499","1,50,648",21.19,0.90,0.05,"38,400",0.90,0.95,"1,200","26,200.00",600,"1,767.00","1,843.00",300,-,"1,640.50",-,-,-,38,
,"3,528","2,591","19,288",21.81,0.95,0.05,"3,150",0.95,1.10,600,"26,250.00",450,"1,800.25","1,905.25",450,-,"1,681.35",-,-,-,8,
,"10,511","7,209","36,839",22.31,0.95,0.10,"8,700",0.90,0.95,"1,800","26,300.00",600,"1,869.30","1,949.70",300,-18.25,"1,633.05",-,-,-,16,
,"1,842",866,"8,197",22.82,0.95,0.10,"3,825",0.95,1.10,"4,350","26,350.00",450,"1,895.35","2,003.60",450,-,"1,840.05",-,-,-,5,
,"16,087","13,374","44,111",23.56,1.05,0.20,"4,200",0.95,1.10,"33,825","26,400.00",75,"1,972.70","2,046.70",300,24.05,"1,832.10",-,4,-,4,
,"2,721","2,189","10,629",23.54,0.85,0.05,"12,825",0.85,1.05,"2,700","26,450.00",450,"1,996.30","2,095.90",450,-,"1,856.95",-,-,-,4,
,"44,337","25,699","2,00,522",24.43,1.00,0.20,"5,400",0.90,1.00,450,"26,500.00",150,"2,095.85","2,106.55",225,264.60,"2,116.95",33.63,14,1,177,
,"2,221","1,155","9,348",24.51,0.85,0.10,"4,500",0.80,1.00,750,"26,550.00",450,"2,096.80","2,198.65",450,-34.30,"1,870.00",-,-,-,3,
,"15,093","13,253","42,798",25.15,0.90,0.10,"12,600",0.85,0.95,750,"26,600.00",75,"2,166.90","2,245.10",450,4.50,"2,098.05",-,1,-,4,
,"1,875",961,"8,568",25.48,0.85,0.10,"3,600",0.80,1.10,750,"26,650.00",450,"2,195.20","2,305.70",450,1.95,"2,022.95",-,-,-,4,
,"1,034",295,"7,344",25.97,0.85,0.05,150,0.85,0.95,"1,275","26,700.00",450,"2,244.65","2,353.80",450,0.45,"2,069.50",-,-,-,4,
,431,159,"5,383",26.45,0.85,0.05,900,0.85,1.00,"7,200","26,750.00",450,"2,293.50","2,399.95",450,-1.20,"2,116.45",-,-,-,4,
,"1,840","1,236","10,692",26.59,0.75,-0.05,"1,050",0.75,0.90,750,"26,800.00","1,725","2,004.90","2,508.30","1,725",-,"2,208.65",-,-,-,4,
,653,553,"4,140",27.85,1.00,0.25,975,0.75,1.00,"4,950","26,850.00",450,"2,391.65","2,506.50",450,-3.90,"2,237.55",-,-,-,4,
,"3,393","1,618","19,255",27.71,0.80,-,"54,000",0.75,0.90,"1,800","26,900.00",450,"2,443.75","2,554.85",450,-,"2,308.50",-,-,-,4,
,"2,068","1,684","13,235",28.67,0.95,0.20,900,0.70,0.90,900,"26,950.00",450,"2,493.55","2,603.75",450,-15.25,"2,318.35",-,-,-,4,
,"23,727","10,127","1,38,023",28.47,0.75,0.05,"3,47,775",0.70,0.75,"5,925","27,000.00",150,"2,593.55","2,610.25",150,296.60,"2,617.10",40.34,9,4,141,
,"2,895",43,"27,693",28.74,0.70,-,"94,650",0.70,0.75,"1,800","27,050.00",450,"2,595.65","2,697.95",450,-3.45,"2,411.90",-,-,-,3,
,"31,428","10,272","1,10,323",29.40,0.75,0.05,"3,10,200",0.70,0.75,"10,425","27,100.00",450,"2,643.90","2,746.45",450,-,"2,518.90",-,-,-,18,
